,imagenet_class,original_score,perturbated_score
362,badger,1.6550752e-06,8.435743e-07
363,armadillo,2.2348619e-08,7.481665e-08
364,"three-toed sloth, ai, Bradypus tridactylus",1.901073e-09,7.015416e-10
365,"orangutan, orang, orangutang, Pongo pygmaeus",2.5019833e-10,4.183784e-11
366,"gorilla, Gorilla gorilla",1.921243e-08,1.2084778e-09
367,"chimpanzee, chimp, Pan troglodytes",2.5065429e-08,3.0822265e-09
368,"gibbon, Hylobates lar",3.1810763e-09,8.250082e-10
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",3.404377e-09,3.0763592e-09
370,"guenon, guenon monkey",9.86426e-07,2.6722687e-06
371,"patas, hussar monkey, Erythrocebus patas",4.0876632e-08,2.5629117e-07
372,baboon,6.040595e-09,2.2969747e-08
373,macaque,6.827176e-08,1.0966675e-08
374,langur,9.584542e-09,1.5528004e-08
375,"colobus, colobus monkey",2.755326e-08,3.0243942e-08
376,"proboscis monkey, Nasalis larvatus",6.858714e-10,4.420114e-10
377,marmoset,9.004926e-07,7.266349e-08
378,"capuchin, ringtail, Cebus capucinus",7.953521e-09,5.8814247e-09
379,"howler monkey, howler",6.728198e-10,1.5928397e-10
380,"titi, titi monkey",7.4419165e-07,6.192423e-08
381,"spider monkey, Ateles geoffroyi",1.3227733e-09,1.4484981e-09
382,"squirrel monkey, Saimiri sciureus",5.3946966e-08,1.0782947e-08
383,"Madagascar cat, ring-tailed lemur, Lemur catta",5.996369e-06,8.1553554e-07
384,"indri, indris, Indri indri, Indri brevicaudatus",2.9484607e-07,3.8562942e-07
385,"Indian elephant, Elephas maximus",9.425707e-10,1.9007853e-09
386,"African elephant, Loxodonta africana",9.148102e-11,2.1020834e-10
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",1.3897763e-08,2.1056035e-09
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",1.3582503e-08,3.1824108e-08
389,"barracouta, snoek",2.4965865e-07,1.7836494e-06
390,eel,2.9028474e-08,8.00119e-08
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1.6897204e-06,1.131136e-05
