,imagenet_class,original_score,perturbated_score
321,admiral,1.60285e-06,0.00010040899
322,"ringlet, ringlet butterfly",4.1960458e-08,4.9222517e-06
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",4.959574e-08,3.968686e-06
324,cabbage butterfly,1.3677978e-07,5.5414323e-05
325,"sulphur butterfly, sulfur butterfly",6.898665e-07,2.1436475e-05
326,"lycaenid, lycaenid butterfly",2.6243427e-07,2.5102801e-05
327,"starfish, sea star",2.1115824e-07,5.3748217e-06
328,sea urchin,1.9421944e-07,3.860496e-06
329,"sea cucumber, holothurian",2.2128484e-08,1.0712096e-06
330,"wood rabbit, cottontail, cottontail rabbit",2.4157345e-08,8.575412e-06
331,hare,4.4367372e-08,7.727758e-06
332,"Angora, Angora rabbit",2.69476e-09,1.2123112e-06
333,hamster,5.5838296e-08,0.00019624633
334,"porcupine, hedgehog",7.524412e-10,3.1803638e-06
335,"fox squirrel, eastern fox squirrel, Sciurus niger",2.3605347e-08,1.5981226e-05
336,marmot,9.884949e-08,1.2825438e-05
337,beaver,1.1305191e-07,6.68578e-05
338,"guinea pig, Cavia cobaya",2.2781242e-08,5.701889e-05
339,sorrel,1.450549e-08,1.3470003e-06
340,zebra,5.8938734e-09,1.5801495e-06
341,"hog, pig, grunter, squealer, Sus scrofa",1.1957384e-08,4.8524644e-06
342,"wild boar, boar, Sus scrofa",5.493246e-08,1.34464435e-05
343,warthog,9.639568e-08,9.311335e-06
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",1.5682761e-09,5.141911e-07
345,ox,5.0535095e-07,1.2688644e-05
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",6.391793e-07,1.9061197e-05
347,bison,1.4309506e-08,1.0942385e-05
348,"ram, tup",1.3357841e-07,2.7956978e-06
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",2.7443164e-07,7.3089905e-06
350,"ibex, Capra ibex",5.5576124e-06,1.4987922e-05
351,hartebeest,1.9199542e-08,2.857168e-07
352,"impala, Aepyceros melampus",2.257355e-07,1.3892418e-06
353,gazelle,2.1965946e-07,3.9446945e-06
354,"Arabian camel, dromedary, Camelus dromedarius",2.7479073e-05,0.00016790401
355,llama,4.979828e-07,4.2788175e-05
356,weasel,3.937025e-07,0.0007007309
357,mink,1.9529055e-07,0.0003768118
358,"polecat, fitch, foulmart, foumart, Mustela putorius",2.0438236e-08,8.41516e-05
359,"black-footed ferret, ferret, Mustela nigripes",1.01739985e-07,0.00041261743
360,otter,5.946704e-07,0.0005027256
361,"skunk, polecat, wood pussy",4.606203e-09,3.109977e-05
362,badger,1.1378635e-07,0.00039603154
363,armadillo,1.0804122e-08,3.4827287e-06
364,"three-toed sloth, ai, Bradypus tridactylus",7.113947e-07,5.519834e-05
365,"orangutan, orang, orangutang, Pongo pygmaeus",1.1579033e-06,0.00013154409
366,"gorilla, Gorilla gorilla",1.9760049e-07,0.00017133504
367,"chimpanzee, chimp, Pan troglodytes",2.648126e-07,0.00037151776
368,"gibbon, Hylobates lar",1.9337655e-08,1.8670638e-05
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",1.2295856e-06,9.414395e-05
370,"guenon, guenon monkey",2.8351592e-09,1.6333863e-05
371,"patas, hussar monkey, Erythrocebus patas",6.847871e-09,9.612655e-06
372,baboon,5.4531696e-08,0.00017085718
373,macaque,8.0803034e-08,2.6410677e-05
374,langur,4.8454805e-08,5.6500005e-05
375,"colobus, colobus monkey",7.7132134e-10,3.866752e-06
376,"proboscis monkey, Nasalis larvatus",5.419096e-09,5.856992e-06
377,marmoset,6.132517e-09,8.581891e-06
378,"capuchin, ringtail, Cebus capucinus",8.501532e-09,4.2825566e-05
379,"howler monkey, howler",1.651043e-08,3.4654353e-05
380,"titi, titi monkey",2.9791773e-09,1.0938869e-05
381,"spider monkey, Ateles geoffroyi",3.731941e-08,9.446989e-05
382,"squirrel monkey, Saimiri sciureus",1.5096735e-08,7.386315e-06
383,"Madagascar cat, ring-tailed lemur, Lemur catta",7.25781e-08,5.789104e-06
384,"indri, indris, Indri indri, Indri brevicaudatus",1.9660058e-08,1.098779e-05
385,"Indian elephant, Elephas maximus",8.267869e-08,1.7608594e-05
386,"African elephant, Loxodonta africana",1.9910784e-08,3.427596e-06
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",2.4757627e-09,3.913807e-06
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",1.18967804e-08,2.213456e-05
389,"barracouta, snoek",3.499594e-08,2.2258998e-06
390,eel,1.5867428e-07,1.6353253e-05
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",5.9376557e-08,2.4358526e-06
392,"rock beauty, Holocanthus tricolor",1.0789361e-07,1.4759484e-05
393,anemone fish,1.5176671e-09,1.4345547e-07
394,sturgeon,9.402484e-08,1.6546517e-06
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",1.0614675e-07,1.7611659e-06
396,lionfish,7.3116375e-08,2.6185523e-06
397,"puffer, pufferfish, blowfish, globefish",6.813619e-09,3.3459978e-07
398,abacus,6.59431e-08,1.1811281e-05
399,abaya,4.1062728e-07,4.851255e-05
400,"academic gown, academic robe, judge's robe",4.6140376e-09,5.3874564e-06
401,"accordion, piano accordion, squeeze box",3.257002e-07,0.00020572098
402,acoustic guitar,2.7246006e-06,0.00017087699
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",3.000677e-07,1.7714521e-05
404,airliner,1.1932415e-06,2.7710585e-05
405,"airship, dirigible",2.7964316e-07,4.984845e-06
406,altar,2.681669e-06,0.00015557482
407,ambulance,5.346534e-06,0.0005271369
408,"amphibian, amphibious vehicle",5.824442e-05,0.00017354134
409,analog clock,2.2990758e-05,0.0013338231
410,"apiary, bee house",3.3341283e-09,2.1449704e-07
411,apron,4.5105077e-07,8.091395e-06
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",8.942341e-06,0.0005570508
413,"assault rifle, assault gun",1.1164232e-06,7.2827033e-06
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",6.8146824e-06,0.00043036195
415,"bakery, bakeshop, bakehouse",5.658232e-07,6.141855e-05
416,"balance beam, beam",2.536568e-07,2.2540838e-05
417,balloon,2.8138367e-05,4.695052e-05
418,"ballpoint, ballpoint pen, ballpen, Biro",6.563266e-08,0.00022050884
419,Band Aid,3.5001233e-07,0.0006185014
420,banjo,8.367075e-06,7.188181e-05
421,"bannister, banister, balustrade, balusters, handrail",2.2403833e-06,0.00024623703
422,barbell,7.114568e-08,5.8780934e-06
423,barber chair,3.948681e-09,6.618796e-06
424,barbershop,4.476408e-08,2.8724977e-05
425,barn,1.1537691e-07,2.3415182e-06
426,barometer,2.6948425e-07,7.01034e-05
