,imagenet_class,original_score,perturbated_score
404,airliner,6.646421e-07,5.546363e-09
405,"airship, dirigible",9.050409e-08,5.6736724e-08
406,altar,5.674809e-10,8.122948e-11
407,ambulance,5.274923e-07,2.7684277e-10
408,"amphibian, amphibious vehicle",3.882663e-08,4.6158524e-10
409,analog clock,5.568059e-06,1.0810816e-07
410,"apiary, bee house",4.162604e-09,1.1568579e-10
411,apron,1.08289264e-07,4.863538e-09
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",5.48939e-07,4.98782e-08
413,"assault rifle, assault gun",1.0488345e-08,1.9913252e-10
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",7.801568e-08,3.0026033e-09
415,"bakery, bakeshop, bakehouse",3.0271046e-08,1.2005403e-09
416,"balance beam, beam",1.0607016e-07,1.34924e-09
417,balloon,1.2374945e-06,7.3123934e-09
418,"ballpoint, ballpoint pen, ballpen, Biro",8.7801635e-07,3.2375326e-07
419,Band Aid,1.512864e-07,1.7079442e-08
420,banjo,1.7422266e-08,5.1645427e-10
421,"bannister, banister, balustrade, balusters, handrail",2.994921e-06,8.788422e-09
422,barbell,1.721042e-07,1.4446354e-09
423,barber chair,6.211615e-09,2.0944674e-10
424,barbershop,2.9452346e-08,2.501931e-09
